;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;No_voie;Type_de_voie;Voie;Code_postal;Commune;Code_departement;Surface_reelle_bati;Nombre_pieces_principales
2294868;1;2019-01-16;Vente;650000.0;25.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;89.0;3.0
2294935;1;2019-01-24;Vente;503029.0;35.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;55.0;3.0
2295058;1;2019-01-24;Vente;791600.0;3.0;RUE;DU CDT GUILBAUD A PARIS;75016.0;BOULOGNE-BILLANCOURT;92;90.0;4.0
2295257;1;2019-01-18;Vente;607600.0;20.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;66.0;3.0
2296791;1;2019-03-15;Vente;860000.0;30.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;105.0;3.0
2296908;1;2019-03-20;Vente;450000.0;47.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;59.0;3.0
2296934;1;2019-03-28;Vente;635000.0;30.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;55.0;2.0
2296968;1;2019-03-04;Vente;1365930.0;20.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;155.0;5.0
2297254;1;2019-10-04;Vente;610000.0;35.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;84.0;4.0
2297374;1;2019-12-04;Vente;665000.0;35.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;78.0;4.0
2298261;1;2019-05-15;Vente;520000.0;47.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;59.0;3.0
2298845;1;2019-05-21;Vente;1020000.0;3.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;107.0;5.0
2298970;1;2019-11-06;Vente;700000.0;11.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;96.0;5.0
2299002;1;2019-05-24;Vente;220000.0;11.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;30.0;1.0
2299241;1;2019-11-06;Vente;479000.0;35.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;61.0;3.0
2299711;1;2019-06-27;Vente;370000.0;35.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;52.0;2.0
2300628;1;2019-07-29;Vente;709850.0;7.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;89.0;5.0
2301168;1;2019-07-26;Vente;295000.0;26.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;27.0;1.0
2302103;1;2019-09-24;Vente;520000.0;19.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;64.0;2.0
2302117;1;2019-08-30;Vente;735000.0;20.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;68.0;2.0
2302664;1;2019-09-16;Vente;336000.0;28.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;31.0;1.0
2303016;1;2019-10-16;Vente;702160.0;5.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;87.0;4.0
2303101;1;2019-09-26;Vente;932550.0;18.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;90.0;4.0
2303184;1;2019-10-17;Vente;675000.0;35.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;80.0;4.0
2303611;1;2019-10-15;Vente;581000.0;30.0;RUE;NUNGESSER ET COLI;75016.0;BOULOGNE-BILLANCOURT;92;70.0;2.0
2303737;1;2019-10-31;Vente;213000.0;11.0;AV;FERDINAND BUISSON;75016.0;BOULOGNE-BILLANCOURT;92;29.0;1.0
2303981;1;2019-01-14;Vente;210300.0;10.0;RUE;D ORADOUR SUR GLANE;75015.0;ISSY-LES-MOULINEAUX;92;24.0;1.0
2304251;1;2019-01-17;Vente;444000.0;10.0;RUE;D ORADOUR SUR GLANE;75015.0;ISSY-LES-MOULINEAUX;92;51.0;3.0
2304366;1;2019-01-23;Vente;163400.0;10.0;RUE;D ORADOUR SUR GLANE;75015.0;ISSY-LES-MOULINEAUX;92;35.0;1.0
2304569;1;2019-01-14;Vente;247000.0;10.0;RUE;D ORADOUR SUR GLANE;75015.0;ISSY-LES-MOULINEAUX;92;32.0;2.0
2304771;1;2019-01-21;Vente;185250.0;10.0;RUE;D ORADOUR SUR GLANE;75015.0;ISSY-LES-MOULINEAUX;92;28.0;1.0
2305416;1;2019-01-31;Vente;190000.0;10.0;RUE;D ORADOUR SUR GLANE;75015.0;ISSY-LES-MOULINEAUX;92;32.0;2.0
2309693;1;2019-02-05;Vente;260000.0;10.0;RUE;D ORADOUR SUR GLANE;75015.0;ISSY-LES-MOULINEAUX;92;32.0;2.0
2310022;1;2019-05-17;Vente;224780.0;10.0;RUE;D ORADOUR SUR GLANE;75015.0;ISSY-LES-MOULINEAUX;92;28.0;1.0
